table_name,column_name,data_type,is_nullable,column_default
income_patterns,valid_until,timestamp without time zone,YES,null
income_patterns,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
notifications,notification_id,uuid,NO,gen_random_uuid()
notifications,user_id,uuid,YES,null
notifications,notification_type,character varying,YES,null
notifications,channel,character varying,YES,null
notifications,title,character varying,YES,null
notifications,message,text,YES,null
notifications,priority,character varying,YES,null
notifications,status,character varying,YES,'pending'::character varying
notifications,scheduled_at,timestamp without time zone,YES,null
notifications,sent_at,timestamp without time zone,YES,null
notifications,delivered_at,timestamp without time zone,YES,null
notifications,read_at,timestamp without time zone,YES,null
notifications,action_taken,boolean,YES,false
notifications,action_details,jsonb,YES,null
notifications,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
outcomes,outcome_id,uuid,NO,gen_random_uuid()
outcomes,user_id,uuid,YES,null
outcomes,recommendation_id,uuid,YES,null
outcomes,measurement_type,character varying,YES,null
outcomes,baseline_value,numeric,YES,null
outcomes,target_value,numeric,YES,null
outcomes,actual_value,numeric,YES,null
outcomes,achievement_percentage,numeric,YES,null
outcomes,measurement_date,date,YES,null
outcomes,time_period,character varying,YES,null
outcomes,success,boolean,YES,null
outcomes,deviation_analysis,jsonb,YES,null
outcomes,factors,jsonb,YES,null
outcomes,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
recommendations,recommendation_id,uuid,NO,gen_random_uuid()
recommendations,user_id,uuid,YES,null
recommendations,recommendation_type,character varying,YES,null
recommendations,priority,character varying,YES,null
recommendations,title,character varying,NO,null
recommendations,description,text,NO,null
recommendations,reasoning,text,YES,null
recommendations,action_items,jsonb,YES,null
recommendations,target_amount,numeric,YES,null
recommendations,target_date,date,YES,null
recommendations,confidence_score,numeric,YES,null
recommendations,expected_outcome,text,YES,null
recommendations,success_probability,numeric,YES,null
recommendations,agent_source,character varying,YES,null
recommendations,context_data,jsonb,YES,null
recommendations,status,character varying,YES,'pending'::character varying
recommendations,user_feedback,text,YES,null
recommendations,actual_outcome,jsonb,YES,null
recommendations,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
recommendations,delivered_at,timestamp without time zone,YES,null
recommendations,actioned_at,timestamp without time zone,YES,null
recommendations,completed_at,timestamp without time zone,YES,null
risk_assessments,id,integer,NO,nextval('risk_assessments_id_seq'::regclass)
risk_assessments,user_id,uuid,NO,null
risk_assessments,overall_risk_level,character varying,NO,null
risk_assessments,risk_score,double precision,NO,null
risk_assessments,risk_factors,jsonb,YES,null
risk_assessments,debt_to_income_ratio,double precision,YES,null
risk_assessments,income_drop_percentage,double precision,YES,null
risk_assessments,expense_spike_factor,double precision,YES,null
risk_assessments,emergency_fund_coverage,double precision,YES,null
risk_assessments,transaction_anomalies,jsonb,YES,null
risk_assessments,escalation_needed,boolean,YES,null
risk_assessments,escalation_priority,character varying,YES,null
risk_assessments,escalation_reason,text,YES,null
risk_assessments,recommended_actions,jsonb,YES,null
risk_assessments,ai_risk_analysis,text,YES,null
risk_assessments,assessment_date,timestamp with time zone,YES,now()
risk_assessments,created_at,timestamp with time zone,YES,now()
tax_records,tax_record_id,uuid,NO,gen_random_uuid()
tax_records,user_id,uuid,YES,null
tax_records,financial_year,character varying,YES,null
tax_records,gross_income,numeric,YES,null
tax_records,income_by_source,jsonb,YES,null
tax_records,total_deductions,numeric,YES,null
tax_records,deduction_details,jsonb,YES,null
tax_records,taxable_income,numeric,YES,null
tax_records,tax_liability,numeric,YES,null
tax_records,tax_paid,numeric,YES,null
tax_records,refund_amount,numeric,YES,null
tax_records,itr_form_type,character varying,YES,null
tax_records,filing_status,character varying,YES,null
tax_records,filing_date,date,YES,null
tax_records,acknowledgement_number,character varying,YES,null
tax_records,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
tax_records,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
transactions,transaction_id,uuid,NO,gen_random_uuid()
transactions,user_id,uuid,YES,null
transactions,transaction_date,date,NO,null
transactions,transaction_time,time without time zone,YES,null
transactions,amount,numeric,NO,null
transactions,transaction_type,character varying,NO,null
transactions,category,character varying,YES,null
transactions,subcategory,character varying,YES,null
transactions,source,character varying,YES,null
transactions,payment_method,character varying,YES,null
transactions,description,text,YES,null
transactions,merchant_name,character varying,YES,null
transactions,location,character varying,YES,null
transactions,is_recurring,boolean,YES,false
transactions,recurring_frequency,character varying,YES,null
transactions,tags,jsonb,YES,null
transactions,input_method,character varying,YES,null
transactions,confidence_score,numeric,YES,null
transactions,verified,boolean,YES,false
transactions,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
transactions,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
transactions,account_id,uuid,YES,null
transactions,balance_after,numeric,YES,null
transactions_backup,transaction_id,uuid,YES,null
transactions_backup,user_id,uuid,YES,null
transactions_backup,transaction_date,date,YES,null
transactions_backup,transaction_time,time without time zone,YES,null
transactions_backup,amount,numeric,YES,null
transactions_backup,transaction_type,character varying,YES,null
transactions_backup,category,character varying,YES,null
transactions_backup,subcategory,character varying,YES,null
transactions_backup,source,character varying,YES,null
transactions_backup,payment_method,character varying,YES,null
transactions_backup,description,text,YES,null
transactions_backup,merchant_name,character varying,YES,null
transactions_backup,location,character varying,YES,null
transactions_backup,is_recurring,boolean,YES,null
transactions_backup,recurring_frequency,character varying,YES,null
transactions_backup,tags,jsonb,YES,null
transactions_backup,input_method,character varying,YES,null
transactions_backup,confidence_score,numeric,YES,null
transactions_backup,verified,boolean,YES,null
transactions_backup,created_at,timestamp without time zone,YES,null
transactions_backup,updated_at,timestamp without time zone,YES,null
transactions_backup,account_id,uuid,YES,null
transactions_backup,balance_after,numeric,YES,null
user_profiles,profile_id,uuid,NO,gen_random_uuid()
user_profiles,user_id,uuid,YES,null
user_profiles,monthly_income_min,numeric,YES,null
user_profiles,monthly_income_max,numeric,YES,null
user_profiles,monthly_expenses_avg,numeric,YES,null
user_profiles,emergency_fund_target,numeric,YES,0
user_profiles,current_emergency_fund,numeric,YES,0
user_profiles,risk_tolerance,character varying,YES,'moderate'::character varying
user_profiles,financial_goals,jsonb,YES,null
user_profiles,income_sources,jsonb,YES,null
user_profiles,debt_obligations,jsonb,YES,null
user_profiles,dependents,integer,YES,0
user_profiles,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
user_profiles,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
user_scheme_applications,id,integer,NO,nextval('user_scheme_applications_id_seq'::regclass)
user_scheme_applications,user_id,uuid,NO,null
user_scheme_applications,scheme_id,uuid,YES,null
user_scheme_applications,application_date,date,NO,null
user_scheme_applications,application_status,character varying,YES,null
user_scheme_applications,benefit_received,double precision,YES,null
user_scheme_applications,benefit_currency,character varying,YES,null
user_scheme_applications,documents_submitted,jsonb,YES,null
user_scheme_applications,documents_verified,jsonb,YES,null
user_scheme_applications,approval_date,date,YES,null
user_scheme_applications,disbursement_date,date,YES,null
user_scheme_applications,application_notes,text,YES,null
user_scheme_applications,created_at,timestamp with time zone,YES,now()
user_scheme_applications,updated_at,timestamp with time zone,YES,null
user_schemes,user_scheme_id,uuid,NO,gen_random_uuid()
user_schemes,user_id,uuid,YES,null
user_schemes,scheme_id,uuid,YES,null
user_schemes,application_date,date,YES,null
user_schemes,application_status,character varying,YES,null
user_schemes,approval_date,date,YES,null
user_schemes,benefit_received,numeric,YES,null
user_schemes,documents_submitted,jsonb,YES,null
user_schemes,notes,text,YES,null
user_schemes,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
user_schemes,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
users,user_id,uuid,NO,gen_random_uuid()
users,phone_number,character varying,NO,null
users,email,character varying,YES,null
users,full_name,character varying,NO,null
users,date_of_birth,date,YES,null
users,preferred_language,character varying,YES,'en'::character varying
users,user_type,character varying,YES,'gig_worker'::character varying
users,occupation,character varying,YES,null
users,city,character varying,YES,null
users,state,character varying,YES,null
users,pin_code,character varying,YES,null
users,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
users,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
users,is_active,boolean,YES,true
users,kyc_verified,boolean,YES,false
users,onboarding_completed,boolean,YES,false
users,password,text,NO,null
users,force_password_reset,boolean,YES,true
